id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
154,Cole,Palmer,Chelsea,3,95,14.9,13.0,13,82,1,1,0,2,0,0,0,0,0,0,3,60,65.2,41.3,54.0,16.1
155,Enzo,Fernández,Chelsea,3,70,4.6,1.0,1,25,0,0,0,0,0,0,0,0,0,0,0,6,3.4,12.0,0.0,1.5
156,Pedro,Lomba Neto,Chelsea,3,65,1.2,1.0,1,14,0,0,0,0,0,0,0,0,0,0,0,9,5.2,4.1,4.0,1.3
157,Estêvão,Almeida de Oliveira Gonçalves,Chelsea,3,65,1.2,1.0,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.4,0.0,0.1
158,Jamie,Bynoe-Gittens,Chelsea,3,60,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
159,Moisés,Caicedo Corozo,Chelsea,3,55,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
161,Roméo,Lavia,Chelsea,3,50,0.1,1.0,1,64,0,0,0,2,0,0,0,1,0,0,0,8,13.6,21.9,33.0,6.9
163,Dário,Luís Essugo,Chelsea,3,45,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
164,Geovany,Quenda,Chelsea,3,55,0.0,1.0,1,8,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.3,2.0,0.4
165,João Pedro,Junqueira de Jesus,Chelsea,4,76,67.4,11.0,11,90,1,1,0,2,0,0,0,0,0,0,2,45,51.2,23.0,37.0,11.1
