id,first_name,second_name,team,element_type,now_cost,selected_by_percent,form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
557,Christos,Tzolis,1,3,65,1.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28,Emiliano,Martínez Romero,2,1,50,4.6,0.0,120,2835,0,1,7,39,0,1,0,2,0,95,11,530,769.8,23.2,0.0,79.2
29,Marco,Bizot,2,1,45,0.1,0.0,16,585,0,0,1,10,0,0,0,2,0,19,0,75,139.2,0.0,0.0,13.9
30,Lucas,Digne,2,2,45,1.4,0.0,97,1842,0,7,7,23,0,0,0,3,0,0,5,381,400.2,455.5,130.0,98.5
31,Ezri,Konsa Ngoyo,2,2,45,17.2,0.0,100,3035,0,1,9,44,0,0,0,0,1,0,3,497,601.4,108.3,124.0,84.0
32,Matty,Cash,2,2,45,7.8,0.0,117,3016,3,3,8,38,0,0,0,9,0,0,7,450,643.0,510.7,221.0,137.5
33,Tyrone,Mings,2,2,45,0.2,0.0,50,1322,0,1,3,23,0,0,0,1,0,0,4,169,282.6,80.5,105.0,46.8
34,Pau,Torres,2,2,45,0.2,0.0,64,1673,0,2,5,19,1,0,0,1,0,0,2,280,321.8,47.1,79.0,45.1
35,Lamare,Bogarde,2,3,50,0.1,0.0,40,1042,0,0,2,17,0,0,0,5,0,0,4,121,133.0,59.4,14.0,20.6
36,Ian,Maatsen,2,2,45,0.6,0.0,54,1590,0,1,2,27,0,0,0,2,0,0,1,242,336.6,373.4,231.0,94.3
37,Victor,Lindelöf,2,2,45,0.2,0.0,29,942,0,1,1,15,0,0,0,0,0,0,0,124,167.8,36.6,22.0,22.7
38,Andrés,García,2,2,40,1.5,0.0,5,83,0,0,0,3,0,0,0,0,0,0,0,12,17.8,3.2,2.0,2.3
39,Kosta,Nedeljkovic,2,2,40,0.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41,Emiliano,Buendía Stati,2,3,60,0.9,0.0,102,1753,6,2,3,24,0,0,0,6,0,0,10,382,427.0,402.1,398.0,121.4
42,Evann,Guessand,2,3,55,0.0,0.0,44,909,1,3,2,15,0,0,0,0,0,0,0,143,159.4,76.6,187.0,42.0
44,Leon,Bailey,2,3,55,0.1,0.0,21,450,0,2,0,9,0,0,0,1,0,0,0,69,71.2,160.4,69.0,30.1
45,John,McGinn,2,3,55,2.7,0.0,103,2136,5,4,8,28,0,0,0,5,0,0,6,443,459.8,605.3,309.0,137.3
46,Ross,Barkley,2,3,50,0.2,0.0,56,844,3,2,1,15,0,0,0,1,0,0,5,221,227.8,162.3,191.0,58.1
47,Boubacar,Kamara,2,3,50,0.1,0.0,61,1410,1,3,5,15,0,0,0,5,0,0,7,282,325.0,241.3,75.0,64.2
48,Amadou,Onana,2,3,50,0.0,0.0,76,1755,2,0,6,26,0,0,0,3,0,0,4,353,413.2,152.6,178.0,74.4
49,Samuel,Iling-Junior,2,3,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50,Bradley,Burrowes,2,3,45,0.9,0.0,1,16,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0
